Symbol,Company Name,Type,Sector,Industry,Options
COE,51Talk Online Education Group,Common Stock,Consumer Staples,Education & Training Services,False
FEAM,"5E Advanced Materials, Inc.",Common Stock,Materials,Specialty Chemicals,True
SXTP,"60 Degrees Pharmaceuticals, Inc.",Common Stock,Healthcare,Biotechnology,False
JEM,707 Cayman Holdings Limited,,Consumer Discretionary,Apparel Retail,False
ETNB,"89bio, Inc.",Common Stock,Healthcare,Biotechnology,True
EGHT,"8x8, Inc.",Common Stock,Technology,Software - Application,True
MASS,908 Devices Inc.,Common Stock,Healthcare,Medical Devices,True
JFU,9F Inc.,Common Stock,Technology,Information Technology Services,False
ASPC,A SPAC III Acquisition Corp.,Common Stock,Financials,Shell Companies,False
AOS,A. O. Smith Corporation,Common Stock,Industrials,Specialty Industrial Machinery,True
AKA,a.k.a. Brands Holding Corp.,Common Stock,Consumer Discretionary,Apparel Retail,False
ATEN,"A10 Networks, Inc.",Common Stock,Technology,Software - Infrastructure,True
AZ,A2Z Cust2Mate Solutions Corp.,Common Stock,Technology,Software - Application,True
AAM,AA Mission Acquisition Corp.,Common Stock,Financials,Shell Companies,False
BDIV,AAM Brentview Dividend Growth ETF,ETF,ETF-Large Value,ETF,False
PFLD,AAM Low Duration Preferred and Income Securities ETF,ETF,ETF-Preferred Stock,ETF,False
SPDV,AAM S&P 500 High Dividend Value ETF,ETF,ETF-Mid-Cap Value,ETF,False
SAWG,AAM Sawgrass US Large Cap Quality Growth ETF,Common Stock,,ETF,False
SAWS,AAM Sawgrass US Small Cap Quality Growth ETF,ETF,ETF-Small Growth,ETF,False
LODI,AAM SLC Low Duration Income ETF,ETF,,ETF,False
TRFM,AAM Transformers ETF,ETF,ETF-Global Large-Stock Growth,ETF,False
AAON,"AAON, Inc.",Common Stock,Industrials,Building Products & Equipment,True
AIR,AAR Corp.,Common Stock,Industrials,Aerospace & Defense,True
AARD,"Aardvark Therapeutics, Inc.",Common Stock,Healthcare,Biotechnology,False
BUFC,AB Conservative Buffer ETF,ETF,ETF-Defined Outcome,ETF,False
CPLS,AB Core Plus Bond ETF,ETF,ETF-Intermediate Core-Plus Bond,ETF,False
EYEG,AB Corporate Bond ETF,ETF,ETF-Corporate Bond,ETF,False
FWD,AB Disruptors ETF,ETF,ETF-Global Large-Stock Growth,ETF,False
HYFI,AB High Yield ETF,ETF,ETF-High Yield Bond,ETF,False
BUFI,AB International Buffer ETF Intl Buffer ETF,ETF,ETF-Defined Outcome,ETF,False
ILOW,AB International Low Volatility Equity ETF,ETF,ETF-Foreign Large Blend,ETF,False
BUFM,AB Moderate Buffer ETF,ETF,ETF-Defined Outcome,ETF,False
SYFI,AB Short Duration High Yield ETF,ETF,ETF-Multisector Bond,ETF,False
SDFI,AB Short Duration Income ETF,ETF,ETF-Short-Term Bond,ETF,False
TAFM,AB Tax-Aware Intermediate Municipal ETF,ETF,ETF-Muni National Interm,ETF,False
TAFL,AB Tax-Aware Long Municipal ETF,ETF,ETF-Muni National Long,ETF,False
TAFI,AB Tax-Aware Short Duration Municipal ETF,ETF,ETF-Muni National Short,ETF,False
YEAR,AB Ultra Short Income ETF,ETF,ETF-Ultrashort Bond,ETF,False
HIDV,AB US High Dividend ETF,ETF,ETF-Large Value,ETF,False
LRGC,AB US Large Cap Strategic Equities ETF,ETF,ETF-Large Blend,ETF,False
LOWV,AB US Low Volatility Equity ETF,ETF,ETF-Large Blend,ETF,False
ABOT,Abacus FCF Innovation Leaders ETF,Common Stock,,ETF,False
ABLG,Abacus FCF International Leaders ETF,ETF,,ETF,False
ABFL,Abacus FCF Leaders ETF,ETF,,ETF,True
ABLD,Abacus FCF Real Assets Leaders ETF,ETF,,ETF,False
ABLS,Abacus FCF Small Cap Leaders ETF,ETF,,ETF,False
ABXB,Abacus Flexible Bond Leaders ETF,ETF,,ETF,False
ABL,"Abacus Global Management, Inc.",Common Stock,Financials,Insurance - Life,True
ABT,Abbott Laboratories,Common Stock,Healthcare,Medical Devices,True
ABBV,AbbVie Inc.,Common Stock,Healthcare,Drug Manufacturers - General,True
ABCL,AbCellera Biologics Inc.,Common Stock,Healthcare,Biotechnology,True
ABEO,Abeona Therapeutics Inc.,Common Stock,Healthcare,Biotechnology,True
ANF,Abercrombie & Fitch Co.,Common Stock,Consumer Discretionary,Apparel Retail,True
ABTS,Abits Group Inc.,Common Stock,Financials,Capital Markets,True
ABVX,ABIVAX Soci̩t̩ Anonyme,Common Stock,Healthcare,Biotechnology,False
ABLV,Able View Global Inc.,Common Stock,Communication Services,Advertising Agencies,False
ABM,ABM Industries Incorporated,Common Stock,Industrials,Specialty Business Services,True
ABVE,Above Food Ingredients Inc.,Common Stock,Consumer Staples,Packaged Foods,False
ABP,"Abpro Holdings, Inc.",Common Stock,Healthcare,Biotechnology,False
BCD,abrdn Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,ETF,ETF-Commodities Broad Basket,ETF,True
BCI,abrdn Bloomberg All Commodity Strategy K-1 Free ETF,ETF,ETF-Commodities Broad Basket,ETF,True
BCIM,abrdn Bloomberg Industrial Metals Strategy K-1 Free ETF,ETF,ETF-Commodities Focused,ETF,False
AGEM,abrdn Emerging Markets Dividend Active ETF,ETF,,ETF,False
AFSC,abrdn Focused U.S. Small Cap Active ETF,ETF,,ETF,False
SGOL,abrdn Physical Gold Shares ETF,ETF,ETF-Commodities Focused,ETF,True
PALL,abrdn Physical Palladium Shares ETF,ETF,ETF-Commodities Focused,ETF,True
PPLT,abrdn Physical Platinum Shares ETF,ETF,ETF-Commodities Focused,ETF,True
GLTR,abrdn Physical Precious Metals Basket Shares ETF,ETF,ETF-Commodities Focused,ETF,False
SIVR,abrdn Physical Silver Shares ETF,ETF,ETF-Commodities Focused,ETF,True
AOD,Abrdn Total Dynamic Dividend Fund,FUND,Financials,Asset Management,False
ABSI,Absci Corporation,Common Stock,Healthcare,Biotechnology,True
ABEQ,Absolute Select Value ETF,ETF,ETF-Large Value,ETF,False
ABVC,"ABVC BioPharma, Inc.",Common Stock,Healthcare,Biotechnology,False
ACIU,AC Immune SA,Common Stock,Healthcare,Biotechnology,True
ACTG,Acacia Research Corporation,Common Stock,Industrials,Business Equipment & Supplies,True
ASO,"Academy Sports and Outdoors, Inc.",Common Stock,Consumer Discretionary,Specialty Retail,True
VETZ,Academy Veteran Impact ETF,ETF,ETF-Intermediate Government,ETF,False
ACHC,"Acadia Healthcare Company, Inc.",Common Stock,Healthcare,Medical Care Facilities,True
ACAD,ACADIA Pharmaceuticals Inc.,Common Stock,Healthcare,Biotechnology,True
AKR,Acadia Realty Trust,Common Stock,Real Estate,REIT - Retail,True
AAMI,Acadian Asset Management Inc.,Common Stock,Financials,Asset Management,True
ACEL,"Accel Entertainment, Inc.",Common Stock,Consumer Discretionary,Gambling,True
ACN,Accenture plc,Common Stock,Technology,Information Technology Services,True
ACCS,ACCESS Newswire Inc.,Common Stock,Communication Services,Advertising Agencies,False
GBIL,ACCESS TREASURY 0-1 YEAR ETF,ETF,ETF-Ultrashort Bond,ETF,True
ACCO,ACCO Brands Corporation,Common Stock,Industrials,Business Equipment & Supplies,True
ARAY,Accuray Incorporated,Common Stock,Healthcare,Medical Devices,True
ACHV,"Achieve Life Sciences, Inc.",Common Stock,Healthcare,Biotechnology,True
ACIW,"ACI Worldwide, Inc.",Common Stock,Technology,Software - Infrastructure,True
ACON,"Aclarion, Inc.",Common Stock,Healthcare,Health Information Services,False
ACRS,"Aclaris Therapeutics, Inc.",Common Stock,Healthcare,Biotechnology,True
ACMR,"ACM Research, Inc.",Common Stock,Technology,Semiconductor Equipment & Materials,True
ACU,Acme United Corporation,Common Stock,Consumer Staples,Household & Personal Products,False
ACNB,ACNB Corporation,Common Stock,Financials,Banks - Regional,True
ZIG,Acquirers Fund,ETF,ETF-Mid-Cap Value,ETF,False
DEEP,Acquirers Small and Micro Deep Value ETF,ETF,ETF-Small Value,ETF,True
ACR,ACRES Commercial Realty Corp.,Common Stock,Real Estate,REIT - Mortgage,True
ACRV,"Acrivon Therapeutics, Inc.",Common Stock,Healthcare,Biotechnology,False
XVOL,Acruence Active Hedge U.S. Equity ETF,ETF,ETF-Large Blend,ETF,False
ASNS,"Actelis Networks, Inc.",Common Stock,Technology,Communication Equipment,False
ATNM,"Actinium Pharmaceuticals, Inc.",Common Stock,Healthcare,Biotechnology,True
GLOV,Activebeta World Low Vol Plus Equity ETF,ETF,ETF-Global Large-Stock Blend,ETF,False
APCB,ActivePassive Core Bond ETF,ETF,ETF-Intermediate Core-Plus Bond,ETF,False
APMU,ActivePassive Intermediate Municipal Bond ETF,ETF,ETF-Muni National Interm,ETF,False
APIE,ActivePassive International Equity ETF,ETF,ETF-Foreign Large Blend,ETF,False
APUE,ActivePassive U.S. Equity ETF,ETF,ETF-Large Blend,ETF,False
ACTU,"Actuate Therapeutics, Inc.",Common Stock,Healthcare,Biotechnology,False
AYI,Acuity Inc.,Common Stock,Industrials,Electrical Equipment & Parts,True
ABOS,"Acumen Pharmaceuticals, Inc.",Common Stock,Healthcare,Biotechnology,True
TIC,Acuren Corporation,Common Stock,Industrials,Specialty Business Services,False
ACXP,"Acurx Pharmaceuticals, Inc.",Common Stock,Healthcare,Biotechnology,True
GOLF,Acushnet Holdings Corp.,Common Stock,Consumer Discretionary,Leisure,True
ACVA,ACV Auctions Inc.,Common Stock,Consumer Discretionary,Auto & Truck Dealerships,True
ADAG,Adagene Inc.,Common Stock,Healthcare,Biotechnology,False
ADGM,"Adagio Medical Holdings, Inc.",Common Stock,Healthcare,Medical Devices,False
AHCO,AdaptHealth Corp.,Common Stock,Healthcare,Medical Devices,True
ADAP,Adaptimmune Therapeutics plc,Common Stock,Healthcare,Biotechnology,True
ADPV,Adaptiv Select ETF,ETF,ETF-Mid-Cap Blend,ETF,False
AGOX,Adaptive Alpha Opportunities ETF,ETF,ETF-Tactical Allocation,ETF,False
ADPT,Adaptive Biotechnologies Corporation,Common Stock,Healthcare,Biotechnology,True
AMAX,Adaptive Hedged Multi-Asset Income ETF,ETF,ETF-Nontraditional Bond,ETF,False
JSTC,Adasina Social Justice All Cap Global ETF,ETF,ETF-Global Large-Stock Blend,ETF,False
ADCT,ADC Therapeutics SA,Common Stock,Healthcare,Biotechnology,True
ATXG,Addentax Group Corp.,Common Stock,Industrials,Integrated Freight & Logistics,False
ADXN,Addex Therapeutics Ltd,Common Stock,Healthcare,Biotechnology,False
ADUS,Addus HomeCare Corporation,Common Stock,Healthcare,Medical Care Facilities,True
AGRO,Adecoagro S.A.,Common Stock,Consumer Staples,Farm Products,True
ADEA,Adeia Inc.,Common Stock,Technology,Software - Application,True
ADIL,"Adial Pharmaceuticals, Inc.",Common Stock,Healthcare,Biotechnology,False
ACET,"Adicet Bio, Inc.",Common Stock,Healthcare,Biotechnology,True
ADNT,Adient plc,Common Stock,Consumer Discretionary,Auto Parts,True
ADTX,"Aditxt, Inc.",Common Stock,Healthcare,Biotechnology,False
ANL,Adlai Nortye Ltd.,Common Stock,Healthcare,Biotechnology,False
ADMA,"ADMA Biologics, Inc.",Common Stock,Healthcare,Biotechnology,True
ADBE,Adobe Inc.,Common Stock,Technology,Software - Application,True
ADSE,ADS-TEC Energy PLC,Common Stock,Industrials,Electrical Equipment & Parts,True
ADT,ADT Inc.,Common Stock,Industrials,Security & Protection Services,True
ATGE,Adtalem Global Education Inc.,Common Stock,Consumer Staples,Education & Training Services,True
ADTN,"ADTRAN Holdings, Inc.",Common Stock,Technology,Communication Equipment,True
ADUR,Aduro Clean Technologies Inc.,Common Stock,Industrials,Pollution & Treatment Controls,False
AAP,"Advance Auto Parts, Inc.",Common Stock,Consumer Discretionary,Auto Parts,True
ADVB,Advanced Biomed Inc.,Common Stock,Healthcare,Diagnostics & Research,False
WMS,"Advanced Drainage Systems, Inc.",Common Stock,Industrials,Building Products & Equipment,True
AEIS,"Advanced Energy Industries, Inc.",Common Stock,Industrials,Electrical Equipment & Parts,True
AFCG,Advanced Flower Capital Inc.,Common Stock,Real Estate,REIT - Mortgage,True
AMD,"Advanced Micro Devices, Inc.",Common Stock,Technology,Semiconductors,True
ASIX,AdvanSix Inc.,Common Stock,Materials,Chemicals,True
ADV,Advantage Solutions Inc.,Common Stock,Communication Services,Advertising Agencies,True
ACVT,Advent Convertible Bond ETF,Common Stock,,ETF,False
ADN,"Advent Technologies Holdings, Inc.",Common Stock,Industrials,Electrical Equipment & Parts,False
ADVM,"Adverum Biotechnologies, Inc.",Common Stock,Healthcare,Biotechnology,True
AADR,AdvisorShares Dorsey Wright ADR ETF,ETF,ETF-Foreign Large Growth,ETF,False
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,ETF,ETF-Large Blend,ETF,False
DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,ETF,ETF-Large Blend,ETF,False
DWSH,AdvisorShares Dorsey Wright Short ETF,ETF,ETF-Trading--Inverse Equity,ETF,False
CWS,AdvisorShares Focused Equity ETF,ETF,ETF-Mid-Cap Blend,ETF,False
GK,AdvisorShares Gerber Kawasaki ETF,ETF,ETF-Large Growth,ETF,True
BEDZ,AdvisorShares Hotel ETF,ETF,ETF-Consumer Cyclical,ETF,True
HVAC,AdvisorShares HVAC and Industrials ETF,Common Stock,,ETF,False
SURE,AdvisorShares Insider Advantage ETF,ETF,ETF-Mid-Cap Blend,ETF,False
MSOX,AdvisorShares MSOS Daily Leveraged ETF,ETF,ETF-Trading--Leveraged Equity,ETF,True
PSIL,AdvisorShares Psychedelics ETF,ETF,ETF-Miscellaneous Sector,ETF,True
YOLO,AdvisorShares Pure Cannabis ETF,ETF,ETF-Miscellaneous Sector,ETF,True
MSOS,AdvisorShares Pure US Cannabis ETF,ETF,ETF-Miscellaneous Sector,ETF,True
QPX,AdvisorShares Q Dynamic Growth ETF,ETF,ETF-Large Blend,ETF,False
HDGE,AdvisorShares Ranger Equity Bear ETF,ETF,ETF-Trading--Inverse Equity,ETF,True
EATZ,AdvisorShares Restaurant ETF,ETF,ETF-Consumer Cyclical,ETF,True
VEGA,AdvisorShares STAR Global Buy-Write ETF,ETF,ETF-Derivative Income,ETF,False
VICE,AdvisorShares Vice ETF,ETF,ETF-Miscellaneous Sector,ETF,False
ACM,AECOM,Common Stock,Industrials,Engineering & Construction,True
AEG,Aegon Ltd.,Common Stock,Financials,Insurance - Diversified,True
AEHR,"Aehr Test Systems, Inc.",Common Stock,Technology,Semiconductor Equipment & Materials,True
ALMU,"Aeluma, Inc.",Common Stock,Technology,Semiconductors,False
AMTX,"Aemetis, Inc.",Common Stock,Materials,Specialty Chemicals,True
AEON,"AEON Biopharma, Inc.",Common Stock,Healthcare,Biotechnology,False
AER,AerCap Holdings N.V.,Common Stock,Industrials,Rental & Leasing Services,True
AERT,"Aeries Technology, Inc",Common Stock,Industrials,Consulting Services,False
AVAV,"AeroVironment, Inc.",Common Stock,Industrials,Aerospace & Defense,True
ASLE,AerSale Corporation,Common Stock,Industrials,Airports & Air Services,True
ATHR,"Aether Holdings, Inc.",Common Stock,Technology,Software - Application,False
AEMD,"Aethlon Medical, Inc.",Common Stock,Healthcare,Medical Devices,False
AEVA,"Aeva Technologies, Inc.",Common Stock,Technology,Software - Infrastructure,True
LIDR,"AEye, Inc.",Common Stock,Technology,Software - Infrastructure,False
AMG,"Affiliated Managers Group, Inc.",Common Stock,Financials,Asset Management,True
AFBI,"Affinity Bancshares, Inc.",Common Stock,Financials,Banks - Regional,False
WLDR,Affinity World Leaders Equity ETF,ETF,ETF-Global Large-Stock Value,ETF,False
AFRM,"Affirm Holdings, Inc.",Common Stock,Technology,Software - Infrastructure,True
AFL,Aflac Incorporated,Common Stock,Financials,Insurance - Life,True
AFYA,Afya Limited,Common Stock,Consumer Staples,Education & Training Services,True
MITT,"AG Mortgage Investment Trust, Inc.",Common Stock,Real Estate,REIT - Mortgage,True
ATPC,Agape ATP Corporation,Common Stock,Consumer Staples,Packaged Foods,False
AGCO,AGCO Corporation,Common Stock,Industrials,Farm & Heavy Construction Machinery,True
UAVS,"AgEagle Aerial Systems, Inc.",Common Stock,Technology,Computer Hardware,True
AGEN,Agenus Inc.,Common Stock,Healthcare,Biotechnology,True
BTAL,AGF U.S. Market Neutral Anti-Beta Fund,ETF,ETF-Equity Market Neutral,ETF,True
A,"Agilent Technologies, Inc.",Common Stock,Healthcare,Diagnostics & Research,True
AGL,"agilon health, inc.",Common Stock,Healthcare,Medical Care Facilities,True
AGYS,"Agilysys, Inc.",Common Stock,Technology,Software - Application,True
AGIO,"Agios Pharmaceuticals, Inc.",Common Stock,Healthcare,Biotechnology,True
AGMH,AGM Group Holdings Inc.,Common Stock,Technology,Computer Hardware,False
AGNC,AGNC Investment Corp.,Common Stock,Real Estate,REIT - Mortgage,True
AEM,Agnico Eagle Mines Limited,Common Stock,Materials,Gold,True
API,"Agora, Inc.",Common Stock,Technology,Software - Application,True
ADC,Agree Realty Corporation,Common Stock,Real Estate,REIT - Retail,True
ANSC,Agriculture & Natural Solutions Acquisition Corporation,Common Stock,Financials,Shell Companies,False
AGRI,AgriFORCE Growing Systems Ltd.,Common Stock,Consumer Staples,Farm Products,False
AGFY,Agrify Corporation,Common Stock,Industrials,Farm & Heavy Construction Machinery,False
AIFE,Aifeex Nexus Acquisition Corporation,Common Stock,Financials,Shell Companies,False
AIFU,AIFU Inc.,Common Stock,Financials,Insurance Brokers,True
AFJK,"Aimei Health Technology Co., Ltd",Common Stock,Financials,Shell Companies,False
AIMD,"Ainos, Inc.",Common Stock,Healthcare,Medical Devices,False
AIRI,Air Industries Group,Common Stock,Industrials,Aerospace & Defense,False
AL,Air Lease Corporation,Common Stock,Industrials,Rental & Leasing Services,True
APD,"Air Products and Chemicals, Inc.",Common Stock,Materials,Specialty Chemicals,True
AIRT,"Air T, Inc.",Common Stock,Industrials,Conglomerates,False
ABNB,"Airbnb, Inc.",Common Stock,Consumer Discretionary,Travel Services,True
AIRG,"Airgain, Inc.",Common Stock,Technology,Communication Equipment,True
AIRJ,AirJoule Technologies Corporation,Common Stock,Industrials,Building Products & Equipment,True
ANTE,AirNet Technology Inc.,Common Stock,Communication Services,Advertising Agencies,False
AIRS,"AirSculpt Technologies, Inc.",Common Stock,Healthcare,Medical Care Facilities,True
AISPW,Airship AI Holdings,Common Stock,Technology,Software - Infrastructure,False
AISP,"Airship AI Holdings, Inc.",Common Stock,Technology,Software - Infrastructure,True
AKAM,"Akamai Technologies, Inc.",Common Stock,Technology,Software - Infrastructure,True
AKAN,Akanda Corp.,Common Stock,Healthcare,Drug Manufacturers - Specialty & Generic,False
AKTX,"Akari Therapeutics, Plc",Common Stock,Healthcare,Biotechnology,False
AKBA,"Akebia Therapeutics, Inc.",Common Stock,Healthcare,Drug Manufacturers - Specialty & Generic,True
AKRO,"Akero Therapeutics, Inc.",Common Stock,Healthcare,Biotechnology,True
AKYA,"Akoya Biosciences, Inc.",Common Stock,Healthcare,Medical Instruments & Supplies,True
AHG,Akso Health Group,Common Stock,Healthcare,Medical Distribution,False
ALG,Alamo Group Inc.,Common Stock,Industrials,Farm & Heavy Construction Machinery,True
AGI,Alamos Gold Inc.,Common Stock,Materials,Gold,True
ALRM,"Alarm.com Holdings, Inc.",Common Stock,Technology,Software - Application,True
ALAR,Alarum Technologies Ltd.,Common Stock,Technology,Software - Infrastructure,False
ALK,"Alaska Air Group, Inc.",Common Stock,Industrials,Airlines,True
TCRT,"Alaunos Therapeutics, Inc.",Common Stock,Healthcare,Biotechnology,False
AIN,Albany International Corp.,Common Stock,Consumer Discretionary,Textile Manufacturing,True
ALB,Albemarle Corporation,Common Stock,Materials,Specialty Chemicals,True
ACI,"Albertsons Companies, Inc.",Common Stock,Consumer Staples,Grocery Stores,True
ALCY,Alchemy Investments Acquisition Corp 1,Common Stock,Financials,Shell Companies,False
AA,Alcoa Corporation,Common Stock,Materials,Aluminum,True
ALC,Alcon Inc.,Common Stock,Healthcare,Medical Instruments & Supplies,True
ALDF,Aldel Financial II Inc.,Common Stock,Financials,Shell Companies,False
ALDX,"Aldeyra Therapeutics, Inc.",Common Stock,Healthcare,Biotechnology,True
ANNA,"AleAnna, Inc.",Common Stock,Energy,Oil & Gas Exploration & Production,False
ALEC,"Alector, Inc.",Common Stock,Healthcare,Biotechnology,True
ENFR,Alerian Energy Infrastructure ETF,ETF,ETF-Energy Limited Partnership,ETF,True
AMLP,Alerian MLP ETF,ETF,ETF-Energy Limited Partnership,ETF,True
AMJB,"ALERIAN MLP INDEX ETNS DUE JANUARY 28, 2044",ETF,ETF-Energy Limited Partnership,ETF,False
ALRS,Alerus Financial Corporation,Common Stock,Financials,Banks - Regional,True
ALEX,"Alexander & Baldwin, Inc.",Common Stock,Real Estate,REIT - Retail,True
ALX,"Alexander's, Inc.",Common Stock,Real Estate,REIT - Retail,False
ARE,"Alexandria Real Estate Equities, Inc.",Common Stock,Real Estate,REIT - Office,True
LEXI,Alexis Practical Tactical ETF,ETF,ETF-Tactical Allocation,ETF,False
ATFV,Alger 35 ETF,ETF,ETF-Large Growth,ETF,False
ALAI,Alger AI Enablers & Adopters ETF,ETF,ETF-Technology,ETF,False
CNEQ,Alger Concentrated Equity ETF,ETF,ETF-Large Growth,ETF,False
FRTY,Alger Mid Cap 40 ETF,ETF,ETF-Mid-Cap Growth,ETF,False
INVN,Alger Russell Innovation ETF,ETF,,ETF,False
AWEG,Alger Weatherbie Enduring Growth ETF,ETF,ETF-Mid-Cap Growth,ETF,False
ASTL,Algoma Steel Group Inc.,Common Stock,Materials,Steel,True
AQN,Algonquin Power & Utilities Corp.,Common Stock,Utilities,Utilities - Diversified,True
RIME,"Algorhythm Holdings, Inc.",Common Stock,Technology,Consumer Electronics,False
BABA,Alibaba Group Holding Limited,Common Stock,Consumer Discretionary,Internet Retail,True
ALCO,"Alico, Inc.",Common Stock,Consumer Staples,Farm Products,False
ALIT,"Alight, Inc.",Common Stock,Technology,Software - Application,True
ALGN,"Align Technology, Inc.",Common Stock,Healthcare,Medical Instruments & Supplies,True
ALHC,"Alignment Healthcare, Inc.",Common Stock,Healthcare,Healthcare Plans,True
ALGS,"Aligos Therapeutics, Inc.",Common Stock,Healthcare,Biotechnology,False
ALKT,"Alkami Technology, Inc.",Common Stock,Technology,Software - Application,True
ALKS,Alkermes plc,Common Stock,Healthcare,Drug Manufacturers - Specialty & Generic,True
ALLR,"Allarity Therapeutics, Inc.",Common Stock,Healthcare,Biotechnology,False
BIRD,"Allbirds, Inc.",Common Stock,Consumer Discretionary,Apparel Retail,False
ALGT,Allegiant Travel Company,Common Stock,Industrials,Airlines,True
ALLE,Allegion plc,Common Stock,Industrials,Security & Protection Services,True
ALGM,"Allegro MicroSystems, Inc.",Common Stock,Technology,Semiconductors,True
ALE,"ALLETE, Inc.",Common Stock,Utilities,Utilities - Diversified,True
AENT,Alliance Entertainment Holding Corporation,Common Stock,Communication Services,Entertainment,False
ARLP,"Alliance Resource Partners, L.P.",Common Stock,Energy,Thermal Coal,True
AB,AllianceBernstein Holding L.P.,Common Stock,Financials,Asset Management,True
LNT,Alliant Energy Corporation,Common Stock,Utilities,Utilities - Regulated Electric,True
SPBX,AllianzIM 6 Month Buffer10 Allocation ETF,ETF,,ETF,False
SPBU,AllianzIM Buffer15 Uncapped Allocation ETF,ETF,,ETF,False
SPBW,AllianzIM Buffer20 Allocation ETF,ETF,,ETF,False
FLAO,AllianzIM U.S. Equity 6 Month Floor5 Apr/Oct ETF,ETF,ETF-Defined Outcome,ETF,False
FLJJ,AllianzIM U.S. Equity 6 Month Floor5 Jan/Jul ETF,ETF,ETF-Defined Outcome,ETF,False
ARLU,AllianzIM U.S. Equity Buffer15 Uncapped Apr ETF,ETF,ETF-Defined Outcome,ETF,False
AUGU,AllianzIM U.S. Equity Buffer15 Uncapped Aug ETF,ETF,ETF-Defined Outcome,ETF,False
DECU,AllianzIM U.S. Equity Buffer15 Uncapped Dec ETF,ETF,,ETF,False
FEBU,AllianzIM U.S. Equity Buffer15 Uncapped Feb ETF,ETF,,ETF,False
JANU,AllianzIM U.S. Equity Buffer15 Uncapped Jan ETF,ETF,,ETF,False
JULU,AllianzIM U.S. Equity Buffer15 Uncapped Jul ETF,ETF,ETF-Defined Outcome,ETF,False
JNEU,AllianzIM U.S. Equity Buffer15 Uncapped June ETF,ETF,ETF-Defined Outcome,ETF,False
MARU,AllianzIM U.S. Equity Buffer15 Uncapped Mar ETF,ETF,,ETF,False
MAYU,AllianzIM U.S. Equity Buffer15 Uncapped May ETF,ETF,ETF-Defined Outcome,ETF,False
NVBU,AllianzIM U.S. Equity Buffer15 Uncapped Nov ETF,ETF,ETF-Defined Outcome,ETF,False
OCTU,AllianzIM U.S. Equity Buffer15 Uncapped Oct ETF,ETF,ETF-Defined Outcome,ETF,False
SEPU,AllianzIM U.S. Equity Buffer15 Uncapped Sep ETF,ETF,ETF-Defined Outcome,ETF,False
SIXO,AllianzIM U.S. Large Cap 6 Month Buffer10 Apr/Oct ETF,ETF,ETF-Defined Outcome,ETF,False
SIXF,AllianzIM U.S. Large Cap 6 Month Buffer10 Feb/Aug ETF,ETF,ETF-Defined Outcome,ETF,False
SIXJ,AllianzIM U.S. Large Cap 6 Month Buffer10 Jan/Jul ETF,ETF,ETF-Defined Outcome,ETF,False
SIXD,AllianzIM U.S. Large Cap 6 Month Buffer10 Jun/Dec ETF,ETF,ETF-Defined Outcome,ETF,False
SIXP,AllianzIM U.S. Large Cap 6 Month Buffer10 Mar/Sep ETF,ETF,ETF-Defined Outcome,ETF,False
