Trade_Date,Symbol,Company_Name,Type,Sector,Industry,MarketCapitalization,Beta,P_Open,P_High,P_Low,P_Close,volume,Prev_Close (Price),P_50D_MA,P_200D_MA,V_14D_MA,V_50D_MA,Options,hi_250d,lo_250d,Close_to_Open (% from Prev Day Close),Open_Close (%),High_Close(%),Low_Close(%),Close_to_Close (%),Shares_Out,Shares_Float,Short_Ratio,Short_Percent_Float,Earnings_Date,Shares_Insiders,Shares_Institutions
2025-07-02,XXII,"22nd Century Group, Inc.",Common Stock,Consumer Staples,Tobacco,2.392688,1.935,7.4,7.4,6.93,6.96,71500.0,,20.466,456.356,58514.93,30570.72,True,2723.085,6.89,,-5.945945945945951,6.321839080459776,-0.4310344827586242,,,,,,,,
2025-07-02,BITX,2x Bitcoin Strategy ETF,ETF,ETF-Digital Assets,ETF,0.0,0.0,53.79,56.17,53.65,55.99,9031000.0,,50.645,43.086,7852178.57,7906908.0,True,67.314,19.029,,4.089979550102255,0.32148597963922076,-4.1793177353098825,,,,,,,,
2025-07-02,CORX,2x Corn ETF,ETF,,ETF,0.0,0.0,13.24,13.55,13.2,13.344,35600.0,,14.341,0.0,2992.86,2016.0,False,0.0,0.0,,0.7854984894259759,1.543764988009602,-1.0791366906474829,,,,,,,,
2025-07-02,ETHU,2x Ether ETF,ETF,ETF-Digital Assets,ETF,0.0,0.0,53.21,60.25,53.011,60.02,4855200.0,,56.293,97.561,4150878.57,3030096.0,True,250.43,22.363,,12.79834617553092,0.3832055981339501,-11.67777407530823,,,,,,,,
2025-07-02,UVIX,2x Long VIX Futures ETF,ETF,ETF-Trading--Leveraged Equity,ETF,0.0,0.0,22.43,22.67,21.88,22.25,9541181.0,,30.579,40.674,15131701.07,9907305.18,True,191.8,22.25,,-0.802496656263931,1.88764044943821,-1.6629213483146115,,,,,,,,
2025-07-02,SOLT,2x Solana ETF,ETF,,ETF,0.0,0.0,14.35,15.289,14.25,15.19,1083900.0,,15.571,0.0,1018192.86,597672.0,False,0.0,0.0,,5.853658536585365,0.6517445687952613,-6.188281764318628,,,,,,,,
2025-07-02,WHTX,2X Wheat ETF,ETF,,ETF,0.0,0.0,12.881,13.04,12.881,13.04,1300.0,,12.811,0.0,1150.0,1058.0,False,0.0,0.0,,1.2343762130269305,0.0,-1.2193251533742249,,,,,,,,
2025-07-02,MASK,3 E Network Technology Group Limited,Common Stock,Technology,Software - Application,31.6125,0.0,2.27,2.448,2.2,2.32,127200.0,,3.172,0.0,104407.14,59990.0,False,0.0,0.0,,2.2026431718061596,5.5172413793103505,-5.172413793103434,,,,,,,,
2025-07-02,KRKR,36Kr Holdings Inc.,Common Stock,Communication Services,Advertising Agencies,10.841206,0.692,5.52,5.52,5.5,5.501,535.0,,5.487,5.042,2439.0,6615.44,False,9.42,2.97,,-0.3442028985507109,0.34539174695508523,-0.018178512997642865,,,,,,,,
2025-07-02,SCWO,374Water Inc.,Common Stock,Industrials,Pollution & Treatment Controls,27.489772,-0.132,0.2368,0.24,0.165,0.19,3894725.0,,0.359,0.667,1619266.07,1867956.5,False,1.94,0.19,,-19.763513513513516,26.315789473684205,-13.157894736842103,,,,,,,,
2025-07-02,PRNT,3D Printing ETF,ETF,ETF-Technology,ETF,0.0,0.0,21.88,22.13,21.7817,22.0954,7253.0,,21.029,20.6,8553.79,10376.34,True,23.25,16.85,,0.9844606946983661,0.15659368013250505,-1.419752527675447,,,,,,,,
2025-07-02,DDD,3D Systems Corporation,Common Stock,Technology,Computer Hardware,225.08144,1.905,1.55,1.7,1.55,1.65,3562189.0,,1.805,2.506,6964265.57,4623274.36,True,4.72,1.37,,6.451612903225798,3.030303030303033,-6.0606060606060534,,,,,,,,
2025-07-02,EDGF,3EDGE Dynamic Fixed Income ETF,ETF,,ETF,0.0,0.0,24.71,24.72,24.71,24.72,86200.0,,24.582,0.0,63607.14,84718.0,False,0.0,0.0,,0.040469445568587656,0.0,-0.04045307443364891,,,,,,,,
2025-07-02,EDGH,3EDGE Dynamic Hard Assets ETF,Common Stock,,ETF,0.0,0.0,26.33,26.49,26.3,26.485,39980.0,,26.283,0.0,34020.0,28555.6,False,0.0,0.0,,0.5886821116597082,0.018878610534260924,-0.6985085897677883,,,,,,,,
2025-07-02,EDGI,3EDGE Dynamic International Equity ETF,Common Stock,,ETF,0.0,0.0,26.02,26.07,26.02,26.07,28300.0,,25.089,0.0,22400.0,46052.0,False,0.0,0.0,,0.19215987701768145,0.0,-0.19179133103184007,,,,,,,,
2025-07-02,EDGU,3EDGE Dynamic US Equity ETF,Common Stock,,ETF,0.0,0.0,26.0,26.08,26.0,26.07,20700.0,,25.081,0.0,17535.71,14584.0,False,0.0,0.0,,0.26923076923077033,0.03835826620635984,-0.2685078634445734,,,,,,,,
2025-07-02,MMM,3M Company,Common Stock,Industrials,Conglomerates,82863.726592,1.083,154.21,155.45,153.21,153.97,2864700.0,,146.209,136.101,2839135.71,3071542.0,True,154.364,97.668,,-0.15563193048441026,0.96122621289861,-0.4936026498668512,,,,,,,,
2025-07-02,FDMT,"4D Molecular Therapeutics, Inc.",Common Stock,Healthcare,Biotechnology,199.659024,2.83,4.15,4.4,4.15,4.31,620596.0,,3.895,7.452,495483.21,485697.46,True,27.22,2.51,,3.8554216867469697,2.0881670533642867,-3.7122969837586837,,,,,,,,
2025-07-02,COE,51Talk Online Education Group,Common Stock,Consumer Staples,Education & Training Services,176.956304,-0.14,30.5,30.5,30.01,30.2,2734.0,,25.018,19.187,19207.43,13556.16,False,33.0,11.89,,-0.9836065573770515,0.9933774834437109,-0.6291390728476746,,,,,,,,
2025-07-02,FEAM,"5E Advanced Materials, Inc.",Common Stock,Materials,Specialty Chemicals,70.061952,1.613,3.6,3.6,3.45,3.5,9499.0,,4.196,9.551,16515.5,13370.84,True,28.52,3.13,,-2.77777777777778,2.85714285714286,-1.4285714285714235,,,,,,,,
2025-07-02,SXTP,"60 Degrees Pharmaceuticals, Inc.",Common Stock,Healthcare,Biotechnology,3.623309,0.0,2.31,2.49,2.31,2.46,12700.0,,2.467,4.846,89866.43,207728.68,False,16.26,1.46,,6.49350649350649,1.2195121951219614,-6.097560975609753,,,,,,,,
2025-07-02,JEM,707 Cayman Holdings Limited,,Consumer Discretionary,Apparel Retail,0.0,0.0,4.64,4.9933,3.85,3.895,352586.0,,0.0,0.0,262313.29,0.0,False,0.0,0.0,,-16.056034482758612,28.197689345314497,-1.1553273427471098,,,,,,,,
2025-07-02,ETNB,"89bio, Inc.",Common Stock,Healthcare,Biotechnology,1474.4384,1.532,9.56,10.335,9.56,10.1,2040446.0,,9.23,8.514,2326194.93,2040965.36,True,11.66,4.83,,5.648535564853547,2.326732673267339,-5.346534653465338,,,,,,,,
2025-07-02,EGHT,"8x8, Inc.",Common Stock,Technology,Software - Application,286.39712,1.789,2.07,2.13,2.04,2.12,977793.0,,1.854,2.119,1481463.79,1458863.46,True,3.47,1.58,,2.4154589371980806,0.4716981132075371,-3.7735849056603805,,,,,,,,
2025-07-02,MASS,908 Devices Inc.,Common Stock,Healthcare,Medical Devices,236.863232,0.285,6.46,6.77,6.39,6.605,516794.0,,6.018,4.688,871441.29,639931.92,True,7.97,1.88,,2.2445820433436605,2.4981074943224697,-3.2551097653293075,,,,,,,,
2025-07-02,JFU,9F Inc.,Common Stock,Technology,Information Technology Services,16.953552,0.94,1.335,1.447,1.31,1.44,39134.0,,1.382,1.542,8596.21,11661.2,False,3.1,1.01,,7.8651685393258415,0.48611111111111927,-9.027777777777771,,,,,,,,
2025-07-02,ASPC,A SPAC III Acquisition Corp.,Common Stock,Financials,Shell Companies,80.469448,0.0,10.21,10.23,10.21,10.23,900.0,,10.184,0.0,1094.0,6524.4,False,0.0,0.0,,0.19588638589617602,0.0,-0.19550342130986875,,,,,,,,
2025-07-02,AOS,A. O. Smith Corporation,Common Stock,Industrials,Specialty Industrial Machinery,9676.20096,1.213,67.76,68.15,67.17,68.09,1109516.0,,65.623,70.411,1534958.29,1717004.32,True,90.304,59.327,,0.4870129870129845,0.08811866647085075,-1.3511528858863293,,,,,,,,
2025-07-02,AKA,a.k.a. Brands Holding Corp.,Common Stock,Consumer Discretionary,Apparel Retail,119.791464,1.72,10.69,11.18,10.0752,11.18,3489.0,,11.77,15.091,11151.93,13029.66,False,30.5,7.23,,4.58372310570627,0.0,-9.881932021466898,,,,,,,,
2025-07-02,ATEN,"A10 Networks, Inc.",Common Stock,Technology,Software - Infrastructure,1424.314752,1.376,19.47,19.82,19.28,19.76,830330.0,,17.919,16.621,894487.86,847306.6,True,21.576,12.182,,1.4894709809964186,0.30364372469634976,-2.4291497975708523,,,,,,,,
2025-07-02,AZ,A2Z Cust2Mate Solutions Corp.,Common Stock,Technology,Software - Application,345.491424,1.956,9.85,10.16,9.45,9.86,235300.0,,9.109,6.491,314971.43,211226.0,True,10.895,0.969,,0.10152284263959174,3.0425963488843886,-4.15821501014199,,,,,,,,
2025-07-02,AAM,AA Mission Acquisition Corp.,Common Stock,Financials,Shell Companies,547.5556,0.0,10.425,10.425,10.425,10.425,4500.0,,10.368,0.0,36816.43,62851.7,False,0.0,0.0,,0.0,0.0,0.0,,,,,,,,
2025-07-02,BDIV,AAM Brentview Dividend Growth ETF,ETF,ETF-Large Value,ETF,0.0,0.0,21.066,21.066,21.066,21.066,100.0,,20.205,19.796,2085.71,2262.0,False,0.0,0.0,,0.0,0.0,0.0,,,,,,,,
2025-07-02,PFLD,AAM Low Duration Preferred and Income Securities ETF,ETF,ETF-Preferred Stock,ETF,0.0,0.0,19.48,19.58,19.48,19.5,109900.0,,19.591,19.698,143400.0,124184.0,False,20.344,19.04,,0.10266940451745162,0.41025641025640147,-0.10256410256410037,,,,,,,,
2025-07-02,SPDV,AAM S&P 500 High Dividend Value ETF,ETF,ETF-Mid-Cap Value,ETF,0.0,0.0,33.0,33.23,32.98,33.23,4480.0,,31.726,31.435,8611.21,5349.96,False,34.242,27.865,,0.6969696969696875,0.0,-0.7523322299127295,,,,,,,,
2025-07-02,SAWG,AAM Sawgrass US Large Cap Quality Growth ETF,Common Stock,,ETF,0.0,0.0,20.541,20.541,20.541,20.541,100.0,,19.709,19.635,60.71,139.9,False,0.0,0.0,,0.0,0.0,0.0,,,,,,,,
2025-07-02,SAWS,AAM Sawgrass US Small Cap Quality Growth ETF,ETF,ETF-Small Growth,ETF,0.0,0.0,19.62,19.674,19.62,19.674,200.0,,19.35,19.492,871.43,850.18,False,0.0,0.0,,0.27522935779815744,0.0,-0.27447392497711953,,,,,,,,
2025-07-02,LODI,AAM SLC Low Duration Income ETF,ETF,,ETF,0.0,0.0,25.12,25.19,25.101,25.105,2400.0,,24.9,0.0,3578.57,3736.0,False,0.0,0.0,,-0.05971337579618061,0.33857797251543853,-0.01593308105955521,,,,,,,,
2025-07-02,TRFM,AAM Transformers ETF,ETF,ETF-Global Large-Stock Growth,ETF,0.0,0.0,42.46,42.801,42.46,42.801,8600.0,,39.859,37.231,6600.64,6956.22,False,43.19,29.9,,0.8031088082901581,0.0,-0.7967103572346466,,,,,,,,
2025-07-02,AAON,"AAON, Inc.",Common Stock,Industrials,Building Products & Equipment,6124.425728,1.031,75.03,76.3144,74.07,75.27,980291.0,,84.953,94.362,1176520.86,882657.44,True,140.349,71.78,,0.3198720511795214,1.387538195828365,-1.5942606616181785,,,,,,,,
2025-07-02,AIR,AAR Corp.,Common Stock,Industrials,Aerospace & Defense,2566.258176,1.429,69.5,71.175,68.665,71.08,274364.0,,64.498,63.833,283440.29,245761.28,True,75.54,48.56,,2.2733812949640266,0.13365222284749417,-3.3975801913336974,,,,,,,,
2025-07-02,AARD,"Aardvark Therapeutics, Inc.",Common Stock,Healthcare,Biotechnology,284.412512,0.0,13.53,14.14,12.82,13.52,41800.0,,11.649,0.0,107585.71,67221.54,False,0.0,0.0,,-0.0739098300073894,4.5857988165680545,-5.177514792899403,,,,,,,,
2025-07-02,BUFC,AB Conservative Buffer ETF,ETF,ETF-Defined Outcome,ETF,0.0,0.0,39.59,39.59,39.48,39.59,101500.0,,39.11,38.728,49628.57,48428.0,False,40.03,36.71,,0.0,0.0,-0.27784794139935975,,,,,,,,
2025-07-02,CPLS,AB Core Plus Bond ETF,ETF,ETF-Intermediate Core-Plus Bond,ETF,0.0,0.0,35.2515,35.33,35.2515,35.315,6565.0,,34.855,34.439,4499.21,9505.42,False,35.351,33.448,,0.18013417868742512,0.04247486903582209,-0.1798102789183001,,,,,,,,
2025-07-02,EYEG,AB Corporate Bond ETF,ETF,ETF-Corporate Bond,ETF,24.673546,0.7974,35.46,35.525,35.46,35.525,100.0,,34.917,34.443,30.21,149.06,False,35.525,33.029,,0.1833051325437048,0.0,-0.18296973961997953,,,,,,,,
2025-07-02,FWD,AB Disruptors ETF,ETF,ETF-Global Large-Stock Growth,ETF,0.0,0.0,87.54,88.53,87.54,88.53,29573.0,,82.055,78.302,36640.93,45304.94,False,89.72,62.05,,1.1309115832762107,0.0,-1.1182649949169714,,,,,,,,
2025-07-02,HYFI,AB High Yield ETF,ETF,ETF-High Yield Bond,ETF,0.0,0.0,37.27,37.396,37.27,37.396,16900.0,,36.631,35.809,23950.0,19250.0,False,37.396,34.069,,0.33807351757445037,0.0,-0.3369344314899927,,,,,,,,
2025-07-02,BUFI,AB International Buffer ETF Intl Buffer ETF,ETF,ETF-Defined Outcome,ETF,0.0,0.0,37.84,37.84,37.78,37.78,3500.0,,37.031,0.0,6409.86,12298.76,False,0.0,0.0,,-0.15856236786469946,0.15881418740074713,0.0,,,,,,,,
2025-07-02,ILOW,AB International Low Volatility Equity ETF,ETF,ETF-Foreign Large Blend,ETF,0.0,0.0,41.32,41.5084,41.21,41.46,990531.0,,40.111,37.373,188030.79,146820.62,False,0.0,0.0,,0.3388189738625377,0.11673902556681352,-0.6029908345393149,,,,,,,,
2025-07-02,BUFM,AB Moderate Buffer ETF,ETF,ETF-Defined Outcome,ETF,0.0,0.0,36.65,36.67,36.56,36.625,8100.0,,35.742,0.0,23814.29,27026.0,False,0.0,0.0,,-0.06821282401091018,0.12286689419795688,-0.17747440273036924,,,,,,,,
2025-07-02,SYFI,AB Short Duration High Yield ETF,ETF,ETF-Multisector Bond,ETF,0.0,0.0,35.74,35.82,35.72,35.82,99300.0,,35.257,34.603,105557.14,139402.0,False,35.82,33.041,,0.2238388360380478,0.0,-0.2791736460078208,,,,,,,,
2025-07-02,SDFI,AB Short Duration Income ETF,ETF,ETF-Short-Term Bond,ETF,0.0,0.0,35.7,35.7,35.69,35.693,2600.0,,35.368,34.766,20950.0,13846.0,False,35.821,33.452,,-0.01960784313726891,0.019611688566399582,-0.008405009385594133,,,,,,,,
2025-07-02,TAFM,AB Tax-Aware Intermediate Municipal ETF,ETF,ETF-Muni National Interm,ETF,0.0,0.0,24.79,24.87,24.79,24.87,66000.0,,24.722,24.745,73800.0,110672.0,False,25.305,24.105,,0.32271077047197194,0.0,-0.3216726980297621,,,,,,,,
2025-07-02,TAFL,AB Tax-Aware Long Municipal ETF,ETF,ETF-Muni National Long,ETF,0.0,0.0,24.24,24.307,24.24,24.307,1600.0,,24.22,24.386,15550.0,11194.0,False,25.168,23.657,,0.2764026402640271,0.0,-0.2756407619204352,,,,,,,,
2025-07-02,TAFI,AB Tax-Aware Short Duration Municipal ETF,ETF,ETF-Muni National Short,ETF,0.0,0.0,25.06,25.09,25.05,25.06,233100.0,,24.906,24.676,185392.86,193054.0,False,25.07,24.111,,0.0,0.11971268954509631,-0.03990422984835599,,,,,,,,
2025-07-02,YEAR,AB Ultra Short Income ETF,ETF,ETF-Ultrashort Bond,ETF,0.0,0.0,50.45,50.47,50.43,50.455,100400.0,,50.212,49.496,273092.86,221390.0,False,50.487,47.959,,0.009910802775015763,0.029729461896740795,-0.04954910316122997,,,,,,,,
2025-07-02,HIDV,AB US High Dividend ETF,ETF,ETF-Large Value,ETF,0.0,0.0,74.14,74.289,74.05,74.289,1400.0,,70.451,69.315,28642.86,13194.0,False,74.289,60.065,,0.2009711356892378,0.0,-0.3217165394607604,,,,,,,,
2025-07-02,LRGC,AB US Large Cap Strategic Equities ETF,ETF,ETF-Large Blend,ETF,0.0,0.0,71.39,71.88,71.39,71.88,7534.0,,67.792,66.127,17247.14,32916.52,False,71.88,57.16,,0.6863706401456715,0.0,-0.6816917084028867,,,,,,,,
2025-07-02,LOWV,AB US Low Volatility Equity ETF,ETF,ETF-Large Blend,ETF,0.0,0.0,74.85,75.105,74.85,75.105,4200.0,,72.29,70.136,6757.14,7342.0,False,75.12,62.847,,0.34068136272546384,0.0,-0.3395246654683572,,,,,,,,
2025-07-02,ABOT,Abacus FCF Innovation Leaders ETF,Common Stock,,ETF,0.0,0.0,38.519,38.588,38.48,38.588,600.0,,36.873,35.057,814.29,988.0,False,38.849,28.881,,0.1791323762299193,0.0,-0.2798797553643726,,,,,,,,
2025-07-02,ABLG,Abacus FCF International Leaders ETF,ETF,,ETF,0.0,0.0,30.946,30.946,30.946,30.946,100.0,,30.03,29.26,2328.57,5308.0,False,31.056,24.2,,0.0,0.0,0.0,,,,,,,,
2025-07-02,ABFL,Abacus FCF Leaders ETF,ETF,,ETF,0.0,0.0,70.403,70.403,70.172,70.32,26100.0,,68.231,65.794,14914.29,16858.0,True,70.898,56.774,,-0.11789270343595104,0.1180318543799952,-0.21046643913537563,,,,,,,,
2025-07-02,ABLD,Abacus FCF Real Assets Leaders ETF,ETF,,ETF,0.0,0.0,28.87,29.081,28.87,29.081,7900.0,,27.969,27.92,7207.14,6074.0,False,30.121,24.293,,0.7308624870107326,0.0,-0.7255596437536485,,,,,,,,
2025-07-02,ABLS,Abacus FCF Small Cap Leaders ETF,ETF,,ETF,0.0,0.0,23.822,23.822,23.822,23.822,0.0,,23.188,0.0,42.86,76.0,False,0.0,0.0,,0.0,0.0,0.0,,,,,,,,
2025-07-02,ABXB,Abacus Flexible Bond Leaders ETF,ETF,,ETF,0.0,0.0,19.55,19.579,19.55,19.579,200.0,,19.188,18.788,957.14,740.0,False,19.58,18.071,,0.14833759590792794,0.0,-0.14811788140354418,,,,,,,,
2025-07-02,ABL,"Abacus Global Management, Inc.",Common Stock,Financials,Insurance - Life,521.63536,0.105,5.28,5.37,5.2,5.33,727082.0,,6.697,8.012,1340234.21,1020547.14,True,10.98,4.64,,0.9469696969696936,0.7504690431519707,-2.4390243902439006,,,,,,,,
2025-07-02,ABT,Abbott Laboratories,Common Stock,Healthcare,Medical Devices,233329.95072,0.737,135.27,136.34,133.84,134.11,4319600.0,,133.004,123.348,6433135.71,6184556.0,True,139.573,98.619,,-0.8575441709174219,1.6628141078219294,-0.20132726866006279,,,,,,,,
2025-07-02,ABBV,AbbVie Inc.,Common Stock,Healthcare,Drug Manufacturers - General,336940.793856,0.491,189.7,192.59,189.53,190.75,4658200.0,,187.456,184.547,7228335.71,6912706.54,True,214.676,158.087,,0.5535055350553566,0.964613368283095,-0.6395806028833546,,,,,,,,
2025-07-02,ABCL,AbCellera Biologics Inc.,Common Stock,Healthcare,Biotechnology,1119.318784,0.36,3.46,3.77,3.37,3.75,8663641.0,,2.831,2.728,7596007.36,5612520.78,True,3.8,1.93,,8.381502890173412,0.5333333333333339,-10.133333333333331,,,,,,,,
2025-07-02,ABEO,Abeona Therapeutics Inc.,Common Stock,Healthcare,Biotechnology,300.289824,1.547,5.56,6.11,5.495,5.87,1379286.0,,5.883,5.603,1312319.86,2065967.3,True,6.87,4.18,,5.575539568345333,4.088586030664399,-6.388415672913117,,,,,,,,
2025-07-02,ANF,Abercrombie & Fitch Co.,Common Stock,Consumer Discretionary,Apparel Retail,4280.750336,1.475,88.9,90.67,86.08,89.85,2666400.0,,80.04,108.6,2061135.71,2656232.0,True,179.75,66.94,,1.068616422947119,0.9126321647189843,-4.195882025598215,,,,,,,,
2025-07-02,ABTS,Abits Group Inc.,Common Stock,Financials,Capital Markets,9.354232,3.25,4.16,5.39,3.78,5.09,267488.0,,3.657,2.111,50749.14,199237.76,True,8.41,0.252,,22.355769230769223,5.893909626719053,-25.736738703339885,,,,,,,,
2025-07-02,ABVX,ABIVAX Soci̩t̩ Anonyme,Common Stock,Healthcare,Biotechnology,494.073056,1.509,7.8,8.13,7.71,7.76,207124.0,,6.824,8.229,275217.93,212919.96,False,13.75,5.17,,-0.5128205128205132,4.768041237113415,-0.6443298969072142,,,,,,,,
2025-07-02,ABLV,Able View Global Inc.,Common Stock,Communication Services,Advertising Agencies,49.3899,1.597,1.0,1.0,1.0,1.0,923.0,,1.098,1.071,7190.0,12300.88,False,1.79,0.56,,0.0,0.0,0.0,,,,,,,,
2025-07-02,ABM,ABM Industries Incorporated,Common Stock,Industrials,Specialty Business Services,3005.816064,0.825,48.24,48.68,47.7,48.28,818500.0,,48.127,49.573,602735.71,512524.0,True,57.992,42.24,,0.08291873963515577,0.8285004142502042,-1.2013256006627968,,,,,,,,
2025-07-02,ABVE,Above Food Ingredients Inc.,Common Stock,Consumer Staples,Packaged Foods,50.679884,-0.283,0.9703,0.99,0.7999,0.84,488044.0,,1.086,1.378,290360.29,980595.02,False,3.22,0.313,,-13.42883644233743,17.85714285714286,-4.773809523809513,,,,,,,,
2025-07-02,ABP,"Abpro Holdings, Inc.",Common Stock,Healthcare,Biotechnology,11.719791,-0.038,0.1905,0.1999,0.1905,0.1928,785045.0,,0.292,3.564,3459470.57,1522068.46,False,12.39,0.171,,1.2073490813648275,3.682572614107881,-1.1929460580912845,,,,,,,,
2025-07-02,BCD,abrdn Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,ETF,ETF-Commodities Broad Basket,ETF,0.0,0.0,33.24,33.62,33.24,33.604,24800.0,,33.27,32.358,47250.0,70969.16,True,34.556,29.443,,1.0950661853188846,0.04761337935959481,-1.0832043804308928,,,,,,,,
2025-07-02,BCI,abrdn Bloomberg All Commodity Strategy K-1 Free ETF,ETF,ETF-Commodities Broad Basket,ETF,0.0,0.0,20.83,21.125,20.83,21.12,401551.0,,20.894,20.325,418566.21,560814.54,True,21.78,18.387,,1.3922227556409155,0.023674242424237713,-1.3731060606060732,,,,,,,,
2025-07-02,BCIM,abrdn Bloomberg Industrial Metals Strategy K-1 Free ETF,ETF,ETF-Commodities Focused,ETF,0.0,0.0,21.78,21.856,21.78,21.85,1700.0,,20.976,20.819,3228.57,6998.06,False,22.44,18.882,,0.32139577594123175,0.02745995423341065,-0.32036613272311343,,,,,,,,
2025-07-02,AGEM,abrdn Emerging Markets Dividend Active ETF,ETF,,ETF,0.0,0.0,33.09,33.225,33.09,33.225,2300.0,,31.385,0.0,3078.43,2053.28,False,0.0,0.0,,0.4079782411604654,0.0,-0.40632054176071636,,,,,,,,
2025-07-02,AFSC,abrdn Focused U.S. Small Cap Active ETF,ETF,,ETF,0.0,0.0,28.63,28.938,28.63,28.938,27100.0,,27.72,0.0,8064.79,18318.14,False,0.0,0.0,,1.0757946210268943,0.0,-1.0643444605708752,,,,,,,,
2025-07-02,SGOL,abrdn Physical Gold Shares ETF,ETF,ETF-Commodities Focused,ETF,0.0,0.0,31.88,32.025,31.78,32.01,3712029.0,,31.387,28.217,4437373.5,4381392.58,True,32.75,22.52,,0.4077791718946016,0.04686035613870843,-0.7185254607934923,,,,,,,,
2025-07-02,PALL,abrdn Physical Palladium Shares ETF,ETF,ETF-Commodities Focused,ETF,0.0,0.0,103.55,106.11,103.0545,106.05,566578.0,,93.912,90.4,307184.14,218655.02,True,111.7,77.79,,2.4142926122646067,0.056577086280058725,-2.8246110325318177,,,,,,,,
2025-07-02,PPLT,abrdn Physical Platinum Shares ETF,ETF,ETF-Commodities Focused,ETF,0.0,0.0,126.27,130.64,126.0647,130.16,947223.0,,106.457,94.611,650587.36,416112.46,True,130.16,82.66,,3.080700087114913,0.3687768899815533,-3.146358328211428,,,,,,,,
2025-07-02,GLTR,abrdn Physical Precious Metals Basket Shares ETF,ETF,ETF-Commodities Focused,ETF,0.0,0.0,139.67,140.6712,139.5941,140.6,38399.0,,135.324,123.325,39049.93,45289.98,False,141.16,101.06,,0.665855230185442,0.05064011379801181,-0.7154338549075369,,,,,,,,
2025-07-02,SIVR,abrdn Physical Silver Shares ETF,ETF,ETF-Commodities Focused,ETF,0.0,0.0,34.62,34.86,34.57,34.86,694998.0,,33.082,30.913,1143528.43,876586.76,True,35.37,25.48,,0.6932409012131774,0.0,-0.8318990246701066,,,,,,,,
